528	108,360,1140,1555,1930,2337,2394,2438,3295,3544
302	109,239,255,322,690,978,1688,2157,2236,2275
49	110,869,1303,1774,1953,2217,2484,4115,4264
45	111,517,548,622,788,1372,1865,1975,2095,2290
273	115,585,1050,1209,1831,1954,1969,2455,2705,2881
250	116,996,1023,1509,1591,1648,1669,1932,2113,2132
70	117,1133,1206,1420,1636,1786,2050,2065,2242,2488
100	118,149,342,727,1139,1294,2554,2602,3226,3340
560	119,447,923,1092,1193,1246,1392,1554,1588,1988
564	120,442,635,661,977,2169,2619,3646,3880,4116
182	121,462,812,952,1252,1489,1958,2125,2292,2729
305	122,411,636,1478,1722,1748,2240,2553,2794,2819
227	123,943,1069,1598,1626,1794,1877,2230,2375,2539
562	124,421,1127,1947,2245,2335,3228
56	125,221,279,651,1068,1312,1467,1506,1574,1972
192	126,265,472,563,790,803,1019,1020,1041,1359
503	127,285,683,886,1055,1531,1729,1805,2853,2894
0	128,1114,1816,1895,2149,2574,3049,3419,3449
93	129,164,509,823,1696,1990
39	130,370,512,654,1186,1204,1446,1664,1739,2825
630	131,314,719,1296,1396,2086,2444,2604,2648,2963
553	132,726,1371,1585,2137,2280,2567,2742,2838,2989
413	135,813,1355,1370,1654,1922,2131,2413,2483,2744
86	136,458,1378,2153,2888,3511,4074,4169
312	138,494,771,1046,1697,1820,2021,3010,3091,3348
255	139,319,707,1611,1645,2007,2305,2431,2885,3550
388	140,453,527,578,627,860,1174,1542,1768,1773
12	141,263,536,1008,1875,1926,2410,2558,2878,2902
259	142,223,605,787,1103,1361,2303,2540,2965,3189
532	143,162,471,903,1207,1410,1494,1996,2121,2161
295	145,443,783,974,1106,1533,1537,1966,2402,2677
424	146,233,270,639,1129,1261,1483,2192,2355,2515
571	147,207,292,753,1297,1632,1732,1737,1822,2257
210	150,184,436,513,603,745,799,970,1286,1348
545	151,215,463,686,1760,3686,4140,4318
128	152,664,1236,2587,2934,3211,3433,3846
320	153,640,761,853,1486,1527,3130,3805,3884,4262
431	154,864,1040,1087,1298,1340,1620,1659,1864,2119
121	155,519,845,1238,2269,2423,2513,2843,3265,3324
180	156,1173,1751,1949,2060,2203,3249,3414
438	157,485,904,1182,1484,1661,2249,2623,3152,3614
160	159,252,714,831,1815,2251,2530,3179,3627,4005
621	163,908,1126,1161,1362,1618,2038,2376,2780,2921
603	165,328,652,676,706,931,1266,1573,1657,1715
473	166,249,293,792,1205,1857,2655,2942,3574,4148
48	167,956,1635,1929,2044,2128,2327,3090,3364
168	168,403,501,746,1683,1824,2036,2493,2497,3108
540	169,594,660,949,1925,2536,2597,2667,2836,3260
162	170,381,703,912,1460,1643,1687,3391,4280
475	171,225,295,737,1327,1419,2556,2641,2811,2871
458	174,262,902,1201,1582,1795,2001,2660,3901,4015
625	176,482,777,827,1356,2361,2671,2832,3304,3607
332	180,242,521,1025,1120,1136,1649,2770,3611,4250
578	181,782,1021,2679,2915,2954,3758,3829,3921,4047
92	182,333,858,976,1210,1384,2084,2099,2397,2722
448	183,390,768,1347,1482,1999,2046,2417,2795,2891
36	185,748,847,2300,2424,2723,3161,3272,3844
232	186,357,423,492,522,871,1280,1532,1552,1597
83	187,309,541,882,1039,1515,1551,2393,2846,3310
533	188,311,414,589,1031,1411,1492,1746,1981,2004
367	189,359,574,900,1048,1332,1536,1610,2032,2154
515	190,393,1337,1858,2211,2254,2273,2906,2972,3292
467	195,338,406,592,961,1353,1833,2318,2747,2792
483	196,305,344,625,673,1859,2130,2388,2468,2913
136	197,478,621,862,1432,2458,2546,2631,2638,2824
453	201,234,365,1141,1374,2189,2366,2542,2908,3159
604	202,261,568,795,1062,1149,1165,1584,1933,2052
385	203,1457,1799,2109,2188,2503,2714,3809,3862,3917
548	205,699,965,1058,1443,2433,3041,3325,3654,3942
581	209,808,1629,2117,2288,2386,3105,3194,3487,4450
392	210,350,1469,1592,1792,3401,4052,4083,4205,4437
594	212,236,689,1151,2988,3027,3164,3344,3537,3562
